advisor_id,advisor_name,channel,archetype_id,archetype_name,risk_tolerance,turnover,flow_persistence,tenure_band,household_count,aum,gross_sales_bias,redemption_sensitivity
ADV0850,Advisor 0850,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,1005,1293958608.9,1.0,1.0
ADV0319,Advisor 0319,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,emerging,959,1274830369.18,0.85,1.2
ADV0697,Advisor 0697,private_bank,growth_allocator,Growth Allocator,medium_high,medium,medium,established,605,1228125873.2,1.15,0.9
ADV0535,Advisor 0535,wirehouse,active_trader,Active Trader,high,high,low,tenured,873,1225440324.18,1.25,1.15
ADV0914,Advisor 0914,regional_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,1333,1209949944.03,1.15,0.9
ADV0099,Advisor 0099,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,714,1195558789.8,1.15,0.9
ADV0556,Advisor 0556,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,789,1189843192.13,1.15,0.9
ADV0855,Advisor 0855,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,775,1133749506.38,1.0,1.0
ADV0030,Advisor 0030,private_bank,balanced_planner,Balanced Planner,medium,low,high,established,516,1100068429.75,1.0,1.0
ADV0117,Advisor 0117,ria,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,847,1065990563.24,1.05,0.95
ADV0951,Advisor 0951,ria,alternative_specialist,Alternative Specialist,medium_high,medium,medium,established,764,1016542071.85,1.05,0.95
ADV0769,Advisor 0769,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,623,964954691.37,1.0,1.0
ADV0460,Advisor 0460,ria,balanced_planner,Balanced Planner,medium,low,high,established,707,957195762.84,1.0,1.0
ADV0181,Advisor 0181,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,597,952099839.59,1.0,1.0
ADV0039,Advisor 0039,regional_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,799,920016748.14,1.15,0.9
ADV0174,Advisor 0174,wirehouse,alternative_specialist,Alternative Specialist,medium_high,medium,medium,established,547,903373319.95,1.05,0.95
ADV0830,Advisor 0830,ria,balanced_planner,Balanced Planner,medium,low,high,established,695,900235085.42,1.0,1.0
ADV0864,Advisor 0864,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,853,888575355.57,0.85,1.2
ADV0425,Advisor 0425,regional_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,848,817831576.9,0.85,1.2
ADV0922,Advisor 0922,ria,balanced_planner,Balanced Planner,medium,low,high,established,541,808702761.97,1.0,1.0
ADV0700,Advisor 0700,ria,balanced_planner,Balanced Planner,medium,low,high,tenured,598,767104067.41,1.0,1.0
ADV0215,Advisor 0215,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,678,729057817.64,1.15,0.9
ADV0900,Advisor 0900,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,452,693121030.28,1.15,0.9
ADV0049,Advisor 0049,insurance_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,tenured,955,681255623.13,1.0,1.0
ADV0749,Advisor 0749,wirehouse,balanced_planner,Balanced Planner,medium,low,high,emerging,385,676811582.52,1.0,1.0
ADV0189,Advisor 0189,wirehouse,balanced_planner,Balanced Planner,medium,low,high,emerging,399,676265967.42,1.0,1.0
ADV0144,Advisor 0144,wirehouse,alternative_specialist,Alternative Specialist,medium_high,medium,medium,established,439,675839544.66,1.05,0.95
ADV0130,Advisor 0130,wirehouse,alternative_specialist,Alternative Specialist,medium_high,medium,medium,established,464,674121101.29,1.05,0.95
ADV0537,Advisor 0537,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,551,664477686.4,0.85,1.2
ADV0539,Advisor 0539,ria,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,510,660243299.44,0.95,1.05
ADV0324,Advisor 0324,wirehouse,conservative_income,Conservative Income,low,low,high,tenured,457,647230871.15,0.85,1.2
ADV0465,Advisor 0465,wirehouse,conservative_income,Conservative Income,low,low,high,established,484,642125116.04,0.85,1.2
ADV0126,Advisor 0126,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,418,634209706.12,1.15,0.9
ADV0386,Advisor 0386,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,427,629473953.61,1.15,0.9
ADV0902,Advisor 0902,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,511,627595138.69,1.15,0.9
ADV0928,Advisor 0928,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,612,614074839.91,1.15,0.9
ADV0543,Advisor 0543,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,440,610861268.8,1.0,1.0
ADV0530,Advisor 0530,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,528,608602431.73,1.15,0.9
ADV0075,Advisor 0075,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,551,607875866.29,1.15,0.9
ADV0253,Advisor 0253,wirehouse,active_trader,Active Trader,high,high,low,tenured,434,605094986.69,1.25,1.15
ADV0541,Advisor 0541,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,498,601061194.34,1.15,0.9
ADV0981,Advisor 0981,ria,balanced_planner,Balanced Planner,medium,low,high,tenured,476,599366992.17,1.0,1.0
ADV0292,Advisor 0292,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,420,595196286.64,1.0,1.0
ADV0767,Advisor 0767,private_bank,conservative_income,Conservative Income,low,low,high,tenured,304,592118062.58,0.85,1.2
ADV0825,Advisor 0825,insurance_broker_dealer,conservative_income,Conservative Income,low,low,high,emerging,552,588139843.06,0.85,1.2
ADV0346,Advisor 0346,ria,balanced_planner,Balanced Planner,medium,low,high,established,398,585670222.42,1.0,1.0
ADV0559,Advisor 0559,wirehouse,conservative_income,Conservative Income,low,low,high,established,462,581171860.29,0.85,1.2
ADV0225,Advisor 0225,ria,balanced_planner,Balanced Planner,medium,low,high,established,439,579381246.56,1.0,1.0
ADV0817,Advisor 0817,private_bank,conservative_income,Conservative Income,low,low,high,tenured,338,575326230.77,0.85,1.2
ADV0031,Advisor 0031,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,558,573006713.71,0.85,1.2
ADV0330,Advisor 0330,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,emerging,473,567529233.1,1.0,1.0
ADV0754,Advisor 0754,wirehouse,alternative_specialist,Alternative Specialist,medium_high,medium,medium,established,378,558131499.54,1.05,0.95
ADV0390,Advisor 0390,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,emerging,368,547799995.76,1.15,0.9
ADV0175,Advisor 0175,ria,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,413,546991698.29,1.05,0.95
ADV0790,Advisor 0790,private_bank,growth_allocator,Growth Allocator,medium_high,medium,medium,established,284,542813721.93,1.15,0.9
ADV0638,Advisor 0638,private_bank,conservative_income,Conservative Income,low,low,high,emerging,200,540988104.49,0.85,1.2
ADV0707,Advisor 0707,ria,conservative_income,Conservative Income,low,low,high,established,371,535360817.3,0.85,1.2
ADV0286,Advisor 0286,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,433,522467439.43,1.15,0.9
ADV0169,Advisor 0169,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,tenured,477,516188869.23,1.0,1.0
ADV0762,Advisor 0762,regional_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,537,515572656.21,1.0,1.0
ADV0426,Advisor 0426,regional_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,511,513570797.17,1.15,0.9
ADV0642,Advisor 0642,wirehouse,conservative_income,Conservative Income,low,low,high,tenured,374,507589301.64,0.85,1.2
ADV0427,Advisor 0427,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,353,495679207.92,1.0,1.0
ADV0776,Advisor 0776,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,461,493467403.47,1.15,0.9
ADV0079,Advisor 0079,regional_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,463,492968232.7,0.85,1.2
ADV0304,Advisor 0304,independent_broker_dealer,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,455,485456244.91,1.05,0.95
ADV0266,Advisor 0266,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,309,485365733.04,1.0,1.0
ADV0276,Advisor 0276,wirehouse,active_trader,Active Trader,high,high,low,established,289,485310580.57,1.25,1.15
ADV0799,Advisor 0799,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,emerging,294,481517876.53,1.15,0.9
ADV0562,Advisor 0562,private_bank,balanced_planner,Balanced Planner,medium,low,high,established,216,479656935.82,1.0,1.0
ADV0329,Advisor 0329,wirehouse,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,329,478752195.88,1.05,0.95
ADV0004,Advisor 0004,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,400,476055477.02,1.15,0.9
ADV0216,Advisor 0216,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,325,474878236.32,1.0,1.0
ADV0728,Advisor 0728,ria,balanced_planner,Balanced Planner,medium,low,high,established,368,467255586.13,1.0,1.0
ADV0443,Advisor 0443,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,emerging,234,465829826.13,1.15,0.9
ADV0594,Advisor 0594,regional_broker_dealer,active_trader,Active Trader,high,high,low,established,476,464289225.21,1.25,1.15
ADV0640,Advisor 0640,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,291,464000838.57,1.15,0.9
ADV0998,Advisor 0998,ria,alternative_specialist,Alternative Specialist,medium_high,medium,medium,established,307,450993927.31,1.05,0.95
ADV0343,Advisor 0343,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,tenured,437,450974843.96,1.0,1.0
ADV0953,Advisor 0953,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,established,353,446106076.82,0.85,1.2
ADV0935,Advisor 0935,private_bank,balanced_planner,Balanced Planner,medium,low,high,tenured,223,443279784.85,1.0,1.0
ADV0368,Advisor 0368,private_bank,conservative_income,Conservative Income,low,low,high,tenured,236,442948762.62,0.85,1.2
ADV0703,Advisor 0703,wirehouse,conservative_income,Conservative Income,low,low,high,established,287,438902148.12,0.85,1.2
ADV0687,Advisor 0687,regional_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,tenured,450,437016231.62,1.0,1.0
ADV0742,Advisor 0742,wirehouse,balanced_planner,Balanced Planner,medium,low,high,emerging,232,436183285.33,1.0,1.0
ADV0860,Advisor 0860,private_bank,conservative_income,Conservative Income,low,low,high,established,218,435107802.05,0.85,1.2
ADV0947,Advisor 0947,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,emerging,294,429186000.29,0.85,1.2
ADV0006,Advisor 0006,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,267,428865679.08,1.0,1.0
ADV0022,Advisor 0022,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,323,426475260.04,0.95,1.05
ADV0895,Advisor 0895,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,248,423075895.87,1.0,1.0
ADV0091,Advisor 0091,insurance_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,482,421465972.1,1.15,0.9
ADV0516,Advisor 0516,ria,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,311,421434127.66,0.95,1.05
ADV0837,Advisor 0837,wirehouse,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,280,419931672.09,1.05,0.95
ADV0221,Advisor 0221,wirehouse,conservative_income,Conservative Income,low,low,high,established,273,416795238.57,0.85,1.2
ADV0582,Advisor 0582,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,305,414451957.57,1.15,0.9
ADV0853,Advisor 0853,private_bank,conservative_income,Conservative Income,low,low,high,tenured,182,412005594.53,0.85,1.2
ADV0624,Advisor 0624,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,364,410673987.11,1.0,1.0
ADV0937,Advisor 0937,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,351,406282502.31,1.15,0.9
ADV0631,Advisor 0631,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,283,404700754.57,1.15,0.9
ADV0398,Advisor 0398,private_bank,conservative_income,Conservative Income,low,low,high,tenured,260,404406949.65,0.85,1.2
ADV0429,Advisor 0429,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,234,402912213.16,0.95,1.05
ADV0883,Advisor 0883,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,271,400085375.19,1.15,0.9
ADV0716,Advisor 0716,independent_broker_dealer,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,emerging,312,399218233.24,0.95,1.05
ADV0636,Advisor 0636,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,256,398418781.56,1.15,0.9
ADV0676,Advisor 0676,private_bank,conservative_income,Conservative Income,low,low,high,tenured,190,398070417.38,0.85,1.2
ADV0571,Advisor 0571,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,327,397551014.35,1.0,1.0
ADV0271,Advisor 0271,wirehouse,active_trader,Active Trader,high,high,low,emerging,241,396611437.18,1.25,1.15
ADV0536,Advisor 0536,ria,conservative_income,Conservative Income,low,low,high,tenured,256,394400104.36,0.85,1.2
ADV0380,Advisor 0380,ria,balanced_planner,Balanced Planner,medium,low,high,tenured,298,393489195.85,1.0,1.0
ADV0810,Advisor 0810,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,238,393466171.6,0.95,1.05
ADV0614,Advisor 0614,regional_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,372,392529868.51,1.0,1.0
ADV0001,Advisor 0001,wirehouse,active_trader,Active Trader,high,high,low,tenured,315,391153030.22,1.25,1.15
ADV0312,Advisor 0312,ria,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,260,389949192.44,0.95,1.05
ADV0894,Advisor 0894,ria,conservative_income,Conservative Income,low,low,high,established,314,389165214.04,0.85,1.2
ADV0954,Advisor 0954,ria,conservative_income,Conservative Income,low,low,high,established,281,388009153.41,0.85,1.2
ADV0404,Advisor 0404,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,285,384138582.77,0.95,1.05
ADV0475,Advisor 0475,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,237,383406653.04,1.0,1.0
ADV0961,Advisor 0961,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,265,382553733.12,1.15,0.9
ADV0665,Advisor 0665,wirehouse,active_trader,Active Trader,high,high,low,tenured,249,380253263.78,1.25,1.15
ADV0202,Advisor 0202,wirehouse,active_trader,Active Trader,high,high,low,established,235,372484053.9,1.25,1.15
ADV0164,Advisor 0164,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,267,372348743.47,1.0,1.0
ADV0918,Advisor 0918,private_bank,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,198,369289030.7,0.95,1.05
ADV0942,Advisor 0942,wirehouse,conservative_income,Conservative Income,low,low,high,established,230,366361981.83,0.85,1.2
ADV0499,Advisor 0499,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,established,272,365630251.41,1.15,0.9
ADV0879,Advisor 0879,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,318,362745427.75,1.15,0.9
ADV0938,Advisor 0938,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,251,362686854.7,1.15,0.9
ADV0844,Advisor 0844,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,273,361786589.1,1.15,0.9
ADV0469,Advisor 0469,regional_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,407,360959785.79,1.15,0.9
ADV0488,Advisor 0488,wirehouse,conservative_income,Conservative Income,low,low,high,tenured,307,360568872.83,0.85,1.2
ADV0699,Advisor 0699,private_bank,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,197,357230952.29,1.15,0.9
ADV0876,Advisor 0876,wirehouse,balanced_planner,Balanced Planner,medium,low,high,emerging,243,356530407.67,1.0,1.0
ADV0389,Advisor 0389,ria,balanced_planner,Balanced Planner,medium,low,high,established,271,355538579.46,1.0,1.0
ADV0807,Advisor 0807,wirehouse,balanced_planner,Balanced Planner,medium,low,high,emerging,212,354912712.84,1.0,1.0
ADV0277,Advisor 0277,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,311,353843361.51,1.15,0.9
ADV0317,Advisor 0317,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,221,353612770.19,1.15,0.9
ADV0362,Advisor 0362,regional_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,381,352475036.05,0.85,1.2
ADV0056,Advisor 0056,regional_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,341,351951661.44,1.0,1.0
ADV0467,Advisor 0467,ria,balanced_planner,Balanced Planner,medium,low,high,tenured,299,351684190.08,1.0,1.0
ADV0198,Advisor 0198,wirehouse,active_trader,Active Trader,high,high,low,tenured,298,350868328.31,1.25,1.15
ADV0066,Advisor 0066,ria,alternative_specialist,Alternative Specialist,medium_high,medium,medium,emerging,239,349839516.78,1.05,0.95
ADV0372,Advisor 0372,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,286,348377546.71,1.15,0.9
ADV0673,Advisor 0673,wirehouse,conservative_income,Conservative Income,low,low,high,tenured,233,346671624.89,0.85,1.2
ADV0909,Advisor 0909,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,305,344122234.28,0.85,1.2
ADV0675,Advisor 0675,private_bank,alternative_specialist,Alternative Specialist,medium_high,medium,medium,emerging,140,342009817.23,1.05,0.95
ADV0350,Advisor 0350,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,214,341910761.25,1.15,0.9
ADV0529,Advisor 0529,independent_broker_dealer,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,267,341528198.64,0.95,1.05
ADV0410,Advisor 0410,insurance_broker_dealer,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,369,335463579.1,1.05,0.95
ADV0545,Advisor 0545,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,248,334793787.27,1.0,1.0
ADV0107,Advisor 0107,regional_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,365,333530446.46,1.15,0.9
ADV0388,Advisor 0388,insurance_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,374,329784065.24,1.15,0.9
ADV0147,Advisor 0147,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,established,248,329313033.04,1.15,0.9
ADV0297,Advisor 0297,private_bank,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,200,328373632.84,0.95,1.05
ADV0263,Advisor 0263,ria,alternative_specialist,Alternative Specialist,medium_high,medium,medium,established,212,328146356.55,1.05,0.95
ADV0043,Advisor 0043,private_bank,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,189,325364688.06,1.15,0.9
ADV0704,Advisor 0704,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,established,275,325185159.12,1.15,0.9
ADV0002,Advisor 0002,ria,active_trader,Active Trader,high,high,low,established,240,322889992.28,1.25,1.15
ADV0284,Advisor 0284,regional_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,established,285,321814401.84,1.15,0.9
ADV0992,Advisor 0992,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,established,259,320438577.13,1.15,0.9
ADV0109,Advisor 0109,independent_broker_dealer,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,259,319312964.12,0.95,1.05
ADV0637,Advisor 0637,ria,balanced_planner,Balanced Planner,medium,low,high,tenured,243,316834841.67,1.0,1.0
ADV0407,Advisor 0407,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,312,316603687.41,1.0,1.0
ADV0511,Advisor 0511,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,253,316464251.43,1.0,1.0
ADV0514,Advisor 0514,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,202,315982780.54,0.95,1.05
ADV0926,Advisor 0926,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,228,315396652.15,1.0,1.0
ADV0820,Advisor 0820,wirehouse,conservative_income,Conservative Income,low,low,high,tenured,236,311309449.66,0.85,1.2
ADV0619,Advisor 0619,wirehouse,conservative_income,Conservative Income,low,low,high,established,213,311168007.69,0.85,1.2
ADV0422,Advisor 0422,regional_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,313,310681968.79,0.85,1.2
ADV0453,Advisor 0453,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,emerging,188,309670423.67,1.15,0.9
ADV0944,Advisor 0944,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,established,250,309414154.35,0.85,1.2
ADV0125,Advisor 0125,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,established,251,309219597.77,0.85,1.2
ADV0679,Advisor 0679,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,196,309018861.91,0.95,1.05
ADV0893,Advisor 0893,independent_broker_dealer,alternative_specialist,Alternative Specialist,medium_high,medium,medium,emerging,196,308701228.5,1.05,0.95
ADV0441,Advisor 0441,private_bank,balanced_planner,Balanced Planner,medium,low,high,emerging,148,306574875.42,1.0,1.0
ADV0651,Advisor 0651,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,277,306127297.73,1.15,0.9
ADV0863,Advisor 0863,independent_broker_dealer,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,302,305517922.52,1.05,0.95
ADV0521,Advisor 0521,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,244,304763556.0,1.15,0.9
ADV0377,Advisor 0377,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,emerging,175,304726018.79,1.15,0.9
ADV0067,Advisor 0067,ria,active_trader,Active Trader,high,high,low,established,200,303569633.82,1.25,1.15
ADV0768,Advisor 0768,insurance_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,377,302801355.55,1.0,1.0
ADV0218,Advisor 0218,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,established,220,301238910.49,0.95,1.05
ADV0841,Advisor 0841,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,261,300121518.99,1.15,0.9
ADV0438,Advisor 0438,ria,conservative_income,Conservative Income,low,low,high,established,194,298532611.66,0.85,1.2
ADV0020,Advisor 0020,wirehouse,conservative_income,Conservative Income,low,low,high,emerging,183,296808220.29,0.85,1.2
ADV0260,Advisor 0260,wirehouse,conservative_income,Conservative Income,low,low,high,tenured,186,296439242.22,0.85,1.2
ADV0779,Advisor 0779,independent_broker_dealer,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,284,296099418.79,0.95,1.05
ADV0904,Advisor 0904,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,tenured,257,295927586.5,1.0,1.0
ADV0912,Advisor 0912,insurance_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,403,293727478.71,1.15,0.9
ADV0747,Advisor 0747,private_bank,balanced_planner,Balanced Planner,medium,low,high,established,144,292861888.97,1.0,1.0
ADV0647,Advisor 0647,independent_broker_dealer,conservative_income,Conservative Income,low,low,high,tenured,307,292503601.47,0.85,1.2
ADV0533,Advisor 0533,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,246,291626798.44,1.15,0.9
ADV0162,Advisor 0162,wirehouse,fixed_income_specialist,Fixed Income Specialist,low_medium,medium,high,tenured,246,291303155.85,0.95,1.05
ADV0316,Advisor 0316,ria,balanced_planner,Balanced Planner,medium,low,high,established,232,290685186.21,1.0,1.0
ADV0590,Advisor 0590,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,tenured,316,289986879.24,1.0,1.0
ADV0851,Advisor 0851,independent_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,established,247,287291293.61,1.0,1.0
ADV0061,Advisor 0061,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,169,285733573.9,1.0,1.0
ADV0325,Advisor 0325,regional_broker_dealer,balanced_planner,Balanced Planner,medium,low,high,tenured,298,285387762.72,1.0,1.0
ADV0739,Advisor 0739,private_bank,growth_allocator,Growth Allocator,medium_high,medium,medium,established,122,285080536.22,1.15,0.9
ADV0391,Advisor 0391,independent_broker_dealer,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,321,283595074.95,1.15,0.9
ADV0191,Advisor 0191,regional_broker_dealer,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,283,283179752.99,1.05,0.95
ADV0374,Advisor 0374,independent_broker_dealer,alternative_specialist,Alternative Specialist,medium_high,medium,medium,emerging,253,282774538.93,1.05,0.95
ADV0871,Advisor 0871,private_bank,conservative_income,Conservative Income,low,low,high,tenured,147,282094212.02,0.85,1.2
ADV0701,Advisor 0701,wirehouse,balanced_planner,Balanced Planner,medium,low,high,emerging,183,281881404.74,1.0,1.0
